[22-09-24 14:42:52.949] LOG  : General     , 1727008972949> java.vendor.version=Zulu17.30+15-CA.
[22-09-24 14:42:52.949] LOG  : General     , 1727008972949> java.vendor.url.bug=http://www.azul.com/support/.
[22-09-24 14:42:52.949] LOG  : General     , 1727008972949> java.io.tmpdir=C:\Users\mail\AppData\Local\Temp\.
[22-09-24 14:42:52.949] LOG  : General     , 1727008972949> java.version=17.0.1.
[22-09-24 14:42:52.949] LOG  : General     , 1727008972949> user.dir=C:\Program Files (x86)\Steam\steamapp....
[22-09-24 14:42:52.949] LOG  : General     , 1727008972949> os.arch=amd64.
[22-09-24 14:42:52.949] LOG  : General     , 1727008972949> java.vm.specification.name=Java Virtual Machine Specification.
[22-09-24 14:42:52.950] LOG  : General     , 1727008972950> user.language.format=da.
[22-09-24 14:42:52.950] LOG  : General     , 1727008972950> sun.os.patch.level=.
[22-09-24 14:42:52.950] LOG  : General     , 1727008972950> native.encoding=Cp1252.
[22-09-24 14:42:52.950] LOG  : General     , 1727008972950> java.library.path=win64/;..
[22-09-24 14:42:52.950] LOG  : General     , 1727008972950> java.vm.info=mixed mode, sharing.
[22-09-24 14:42:52.950] LOG  : General     , 1727008972950> java.vendor=Azul Systems, Inc..
[22-09-24 14:42:52.950] LOG  : General     , 1727008972950> java.vm.version=17.0.1+12-LTS.
[22-09-24 14:42:52.950] LOG  : General     , 1727008972950> sun.io.unicode.encoding=UnicodeLittle.
[22-09-24 14:42:52.950] LOG  : General     , 1727008972950> java.class.version=61.0.
[22-09-24 14:42:52.950] LOG  : General     , 1727008972950> -----.
[22-09-24 14:42:52.951] LOG  : General     , 1727008972951> version=41.78.16 demo=false.
[22-09-24 14:42:53.215] LOG  : General     , 1727008973215> LightingFPS set to 15.
[22-09-24 14:42:53.216] LOG  : General     , 1727008973216> [javafmodJNI] Init: Start.
[22-09-24 14:42:53.217] LOG  : General     , 1727008973217> [javafmodJNI] Init: WIN 64.
[22-09-24 14:42:53.230] LOG  : General     , 1727008973230> 1727008973228 fmod: Java loging: OK.
[22-09-24 14:42:53.234] LOG  : General     , 1727008973234> 1727008973234 fmod: FMOD::Studio::System::create() result: No errors..
[22-09-24 14:42:53.234] LOG  : General     , 1727008973234> 1727008973234 fmod: FMOD::Studio::System::getCoreSystem() result: No errors..
[22-09-24 14:42:53.234] LOG  : General     , 1727008973234> 1727008973234 fmod: FMOD_System_GetVersion() result: No errors..
[22-09-24 14:42:53.234] LOG  : General     , 1727008973234> 1727008973234 fmod: fmodintegration built with version 20206, fmod shared library version 20206.
[22-09-24 14:42:53.235] LOG  : General     , 1727008973235> 1727008973235 fmod: System Create: OK.
[22-09-24 14:42:53.235] LOG  : General     , 1727008973235> 1727008973235 fmod: FMOD_System_SetSoftwareFormat() result: No errors..
[22-09-24 14:42:53.281] LOG  : General     , 1727008973281> 1727008973281 fmod: FMOD::Studio::System::Initialize() result: No errors..
[22-09-24 14:42:53.282] LOG  : General     , 1727008973282> 1727008973282 fmod: Creating DSP for capture sound.
[22-09-24 14:42:53.282] LOG  : General     , 1727008973282> 1727008973282 fmod: FMOD_System_CreateDSP() result: No errors..
[22-09-24 14:42:53.282] LOG  : General     , 1727008973282> 1727008973282 fmod: FMOD_DSP_SetBypass() result: No errors..
[22-09-24 14:42:53.283] LOG  : General     , 1727008973283> 1727008973283 fmod: FMOD_System_GetMasterChannelGroup() result: No errors..
[22-09-24 14:42:53.283] LOG  : General     , 1727008973283> 1727008973283 fmod: FMOD_ChannelGroup_AddDSP() result: No errors..
[22-09-24 14:42:53.283] LOG  : General     , 1727008973283> 1727008973283 fmod: FMOD_System_Set3DSettings() result: No errors..
[22-09-24 14:42:53.595] LOG  : General     , 1727008973595> GraphicsCard: NVIDIA Corporation NVIDIA GeForce RTX 3050/PCIe/SSE2.
[22-09-24 14:42:53.596] LOG  : General     , 1727008973595> OpenGL version: 4.6.0 NVIDIA 552.44.
[22-09-24 14:42:53.597] LOG  : General     , 1727008973597> Desktop resolution 1920x1080.
[22-09-24 14:42:53.599] LOG  : General     , 1727008973599> Initial resolution 1920x1080 fullScreen=false.
[22-09-24 14:42:53.600] LOG  : General     , 1727008973600> OpenGL 1.5 buffer objects supported.
[22-09-24 14:42:53.601] LOG  : General     , 1727008973601> VSync: OFF.
[22-09-24 14:42:53.616] LOG  : General     , 1727008973616> NVIDIA: current available GPU memory is 5845 MB.
[22-09-24 14:42:53.616] LOG  : General     , 1727008973616> NVIDIA: dedicated available GPU memory is 8192 MB.
[22-09-24 14:42:53.617] LOG  : General     , 1727008973617> NVIDIA: total available GPU memory is 8192 MB.
[22-09-24 14:42:59.494] LOG  : General     , 1727008979494> AngelCodeFont failed to load page 0 texture C:/Program Files (x86)/Steam/steamapps/common/ProjectZomboid/media/mainfont_0.png.
[22-09-24 14:42:59.496] LOG  : General     , 1727008979496> AngelCodeFont failed to load page 0 texture C:/Program Files (x86)/Steam/steamapps/common/ProjectZomboid/media/mainfont2_0.png.
[22-09-24 14:42:59.501] WARN : General     , 1727008979501> TextManager.Init> font "MediumNew" not found in fonts.txt.
[22-09-24 14:42:59.502] WARN : General     , 1727008979502> TextManager.Init> font "AutoNormSmall" not found in fonts.txt.
[22-09-24 14:42:59.502] WARN : General     , 1727008979502> TextManager.Init> font "AutoNormMedium" not found in fonts.txt.
[22-09-24 14:42:59.502] WARN : General     , 1727008979502> TextManager.Init> font "AutoNormLarge" not found in fonts.txt.
[22-09-24 14:42:59.503] LOG  : General     , 1727008979503> AngelCodeFont failed to load page 0 texture C:/Program Files (x86)/Steam/steamapps/common/ProjectZomboid/media/fonts/zomboidDialogue.bmfc_0.png.
[22-09-24 14:42:59.512] WARN : General     , 1727008979512> TextManager.Init> font "DebugConsole" not found in fonts.txt.
[22-09-24 14:42:59.595] LOG  : General     , 1727008979595> Loading networking libraries....
[22-09-24 14:42:59.595] LOG  : General     , 1727008979595> Loading steam_api64....
[22-09-24 14:42:59.596] LOG  : General     , 1727008979596> Loading RakNet64....
[22-09-24 14:42:59.597] LOG  : General     , 1727008979597> Loading ZNetJNI64....
[22-09-24 14:42:59.721] LOG  : Network     , 1727008979721> [22-09-24 14:42:59.721] > ZNet: SetLogLevel 2.
[22-09-24 14:42:59.721] LOG  : Network     , 1727008979721> [22-09-24 14:42:59.721] > ZNet: SteamAPI initialised successfully.
[22-09-24 14:42:59.722] LOG  : General     , 1727008979722> SteamUtils initialised successfully.
[22-09-24 14:42:59.800] LOG  : Network     , 1727008979800> [22-09-24 14:42:59.800] > ZNet: workshop item 2197797275 is not installed.
[22-09-24 14:43:00.541] LOG  : Mod         , 1727008980541> refusing to list examplemod.
[22-09-24 14:43:00.553] LOG  : Mod         , 1727008980553> 2x version of normandytextures.pack not found..
[22-09-24 14:43:00.553] LOG  : Mod         , 1727008980553> 2x version of road_signs_normandy.pack not found..
[22-09-24 14:43:00.568] LOG  : Mod         , 1727008980568> 2x version of packsleepingbags.pack not found..
[22-09-24 14:43:00.573] LOG  : Mod         , 1727008980573> loading ModManager.
[22-09-24 14:43:00.579] LOG  : Mod         , 1727008980579> mod "ModManager" overrides media/lua/client/optionscreens/modselector.lua.
[22-09-24 14:43:00.583] LOG  : Mod         , 1727008980583> mod "ModManager" overrides media/lua/shared/translate/ch/ui_ch.txt.
[22-09-24 14:43:00.584] LOG  : Mod         , 1727008980584> mod "ModManager" overrides media/lua/shared/translate/cn/ui_cn.txt.
[22-09-24 14:43:00.584] LOG  : Mod         , 1727008980584> mod "ModManager" overrides media/lua/shared/translate/de/ui_de.txt.
[22-09-24 14:43:00.585] LOG  : Mod         , 1727008980585> mod "ModManager" overrides media/lua/shared/translate/en/ui_en.txt.
[22-09-24 14:43:00.585] LOG  : Mod         , 1727008980585> mod "ModManager" overrides media/lua/shared/translate/es/ui_es.txt.
[22-09-24 14:43:00.586] LOG  : Mod         , 1727008980586> mod "ModManager" overrides media/lua/shared/translate/fr/ui_fr.txt.
[22-09-24 14:43:00.586] LOG  : Mod         , 1727008980586> mod "ModManager" overrides media/lua/shared/translate/it/ui_it.txt.
[22-09-24 14:43:00.587] LOG  : Mod         , 1727008980587> mod "ModManager" overrides media/lua/shared/translate/ko/ui_ko.txt.
[22-09-24 14:43:00.587] LOG  : Mod         , 1727008980587> mod "ModManager" overrides media/lua/shared/translate/pl/ui_pl.txt.
[22-09-24 14:43:00.587] LOG  : Mod         , 1727008980587> mod "ModManager" overrides media/lua/shared/translate/ptbr/ui_ptbr.txt.
[22-09-24 14:43:00.588] LOG  : Mod         , 1727008980588> mod "ModManager" overrides media/lua/shared/translate/ru/ui_ru.txt.
[22-09-24 14:43:00.588] LOG  : Mod         , 1727008980588> mod "ModManager" overrides media/lua/shared/translate/tr/ui_tr.txt.
[22-09-24 14:43:00.594] LOG  : Mod         , 1727008980594> loading ModManagerServer.
[22-09-24 14:43:00.595] LOG  : Mod         , 1727008980595> mod "ModManagerServer" overrides changelog.txt.
[22-09-24 14:43:00.596] LOG  : Mod         , 1727008980596> mod "ModManagerServer" overrides copyright.txt.
[22-09-24 14:43:00.596] LOG  : Mod         , 1727008980596> mod "ModManagerServer" overrides logo-mini.png.
[22-09-24 14:43:00.596] LOG  : Mod         , 1727008980596> mod "ModManagerServer" overrides logo.png.
[22-09-24 14:43:00.617] LOG  : General     , 1727008980617> AngelCodeFont failed to load page 0 texture C:/Program Files (x86)/Steam/steamapps/common/ProjectZomboid/media/mainfont_0.png.
[22-09-24 14:43:00.617] LOG  : General     , 1727008980617> AngelCodeFont failed to load page 0 texture C:/Program Files (x86)/Steam/steamapps/common/ProjectZomboid/media/mainfont2_0.png.
[22-09-24 14:43:00.623] WARN : General     , 1727008980623> TextManager.Init> font "MediumNew" not found in fonts.txt.
[22-09-24 14:43:00.623] WARN : General     , 1727008980623> TextManager.Init> font "AutoNormSmall" not found in fonts.txt.
[22-09-24 14:43:00.623] WARN : General     , 1727008980623> TextManager.Init> font "AutoNormMedium" not found in fonts.txt.
[22-09-24 14:43:00.623] WARN : General     , 1727008980623> TextManager.Init> font "AutoNormLarge" not found in fonts.txt.
[22-09-24 14:43:00.624] LOG  : General     , 1727008980624> AngelCodeFont failed to load page 0 texture C:/Program Files (x86)/Steam/steamapps/common/ProjectZomboid/media/fonts/zomboidDialogue.bmfc_0.png.
[22-09-24 14:43:00.632] WARN : General     , 1727008980632> TextManager.Init> font "DebugConsole" not found in fonts.txt.
[22-09-24 14:43:00.653] LOG  : General     , 1727008980653> translator: language is EN.
[22-09-24 14:43:00.740] LOG  : General     , 1727008980740> texturepack: loading UI.
[22-09-24 14:43:00.782] LOG  : General     , 1727008980782> texturepack: loading UI2.
[22-09-24 14:43:00.787] LOG  : General     , 1727008980787> texturepack: loading IconsMoveables.
[22-09-24 14:43:00.789] LOG  : General     , 1727008980789> texturepack: loading RadioIcons.
[22-09-24 14:43:00.790] LOG  : General     , 1727008980790> texturepack: loading ApComUI.
[22-09-24 14:43:00.792] LOG  : General     , 1727008980792> texturepack: loading Mechanics.
[22-09-24 14:43:00.804] LOG  : General     , 1727008980804> texturepack: loading WeatherFx.
[22-09-24 14:43:01.820] WARN : Recipe      , 1727008981820> RecipeManager.resolveItemModuleDotType> WARNING: module "Base" may have forgot to import module Base.
[22-09-24 14:43:01.821] WARN : Sound       , 1727008981821> GameSounds.initClipEvents> No such FMOD event "Character/Survival/Crafting/AddItemInBeverage" for GameSound "AddItemInBeverage".
